ID,English,Artificial Language
1,I design the plan.,peni mu peniclkab su
2,I planned the law.,nini mu peniclkab su
3,I will understand the AI.,zezi mu ruziclkan su
4,I study the history.,sit mu peziclkan su
5,I output the data.,ruxa mu rasiclkan su
6,I save the information.,si mu rusiclkan su
7,I move the furniture.,caer mu tuericlkan su
8,I fix the broken thing.,bis mu bitclkan su
9,I will produce the tool.,cati mu raticlkam su
10,I consumed the energy.,ed mu caclkab su
11,I create the art.,git mu giclkab su
12,I delete the error.,nis mu gisclkan su
13,I wait for the success.,sot mu rudiclkan su
14,I communicate with others.,si mu cisiclkan su
15,I teach the ethics.,ec mu peziclkan su
16,I measure the speed.,que mu teclkan su
17,I start the machine.,vepe mu vepiclkan su
18,I controlled the light.,lo mu pepiclkan su
19,I will invite the person.,ec mu ramiclkan su
20,I observe the nature.,neo mu texaclkan su
21,I understand the logic.,ni mu ruziclkan su
22,I test the product.,peba mu teniclkan su
23,I charge the battery.,zet mu zeclkan su
24,I will repair the house.,rubi mu bitclkan su
25,I felt the anger.,rakhal mu ruziclkan su
26,I drink the water.,rul mu ruclkan su
27,I burned the wood.,neo mu rukhalclkan su
28,I see the stars.,hul mu texaclkan su
29,I expand the territory.,thuter mu ertclkan su
30,I summarize the report.,sit mu sisclkan su
31,I search the map.,teer mu ruziclkan su
32,I modify the plan.,peni mu pesiclkan su
33,I shared the knowledge.,ex mu tusiclkan su
34,I prove the truth.,nit mu nitclkan su
35,I stop the flow.,que mu queclkan su
36,I lead the education.,pezi mu fotclkan su
37,I check the schedule.,tedi mu teniclkan su
38,I feel the stress.,cani mu ruziclkan su
39,I speak the truth.,ruxa mu raziclkan su
40,I build the factory.,cati mu vebaclkan su
41,I move the object.,ti mu tuericlkan su
42,I distinguish the right.,sot mu veneclkan su
43,I lost the memory.,sis mu rasiclkan su
44,I will meet the human.,ec mu ramiclkan su
45,I distribute the wealth.,kikba mu raneclkan su
46,I balance the power.,ed mu neclkan su
47,I judge the case.,sit mu veneclkan su
48,I will start the conversation.,cizi mu vepiclkan su
49,I invent the tool.,ek mu gitclkan su
50,I feel the cold.,khal mu ruziclkan su
51,I destroy the structure.,ba mu gisclkan su
52,I record the time.,di mu rusiclkan su
53,I change the world.,bi mu tuericlkan su
54,I will write the law.,nini mu peniclkam su
55,I manage the priority.,fot mu pepiclkan su
56,I discharge the electricity.,zes mu zeclkan su
57,I observe the space.,hul mu texaclkan su
58,I used the money.,kikba mu caclkab su
59,I follow the manner.,ciso mu ruziclkan su
60,I learn the science.,xat mu peziclkan su
61,I verify the fact.,ruxa mu pexatclkan su
62,I deliver the package.,tubi mu tuericlkan su
63,I will buy the food.,em mu ruclkan su
64,I clean the room.,cabi mu bitclkan su
65,I wait for the signal.,si mu rudiclkan su
66,I design the interior.,peer mu peniclkan su
67,I use the appliance.,caze mu caclkan su
68,I failed the test.,teni mu sosclkab su
69,I reached the goal.,sot mu tuericlkan su
70,I explain the principle.,nini mu raziclkan su
71,I protect the life.,em mu pepiclkan su
72,I will fix the error.,nis mu bitclkam su
73,I see the mountain.,thut mu texaclkan su
74,I feel the heat.,khal mu ruziclkan su
75,I control the engine.,quet mu pepiclkan su
76,I will travel the sea.,ruler mu tuericlkam su
77,I print the document.,sit mu rasiclkan su
78,I input the password.,ni mu rusiclkan su
79,I study the biology.,em mu peziclkan su
80,I invent the engine.,quet mu gitclkan su
81,I accept the contract.,vemi mu ruclkan su
82,I break the promise.,vemi mu gisclkan su
83,I measure the length.,ti mu teclkan su
84,I release the information.,si mu rasiclkan su
85,I will help the people.,ec mu cipeclkan su
86,I use the tool.,ek mu caclkan su
87,I plan the trip.,tuer mu peniclkan su
88,I will find the answer.,nit mu ruziclkan su
89,I decrease the speed.,que mu quesclkan su
90,I increase the power.,ed mu quetclkan su
91,I suspect the lie.,deni mu texaclkan su
92,I understand the emotion.,zi mu ruziclkan su
93,I will end the task.,fot mu vepiclkam su
94,I lead the innovation.,git mu fotclkan su
95,I connect the wires.,ze mu miclkan su
96,I disconnect the system.,ba mu misclkan su
97,I provide the service.,fot mu raneclkan su
98,I choose the option.,vene mu vepiclkan su
99,I will tell the story.,sit mu raziclkan su
100,I train the robot.,zezi mu pefoclkan su
